City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,port lincoln,-34.7333,135.8667,59.68,89,66,12.1,AU,1731267488
84,haiku-pauwela,20.9219,-156.3051,78.82,65,40,21.0,US,1731267194
85,nova xavantina,-14.6667,-52.35,82.89,71,32,5.41,BR,1731267490
86,ust'-barguzin,53.45,108.9833,15.26,86,27,5.3,RU,1731267491
87,kailua-kona,19.6406,-155.9956,81.55,73,0,8.05,US,1731267284
88,dax,43.75,-1.1667,56.3,98,42,0.0,FR,1731267493
89,bhinga,27.7167,81.9333,70.29,59,0,3.33,IN,1731267494
90,ixtapa,20.7,-105.2,85.23,58,20,10.36,MX,1731267495
91,sarupathar,26.1984,93.8094,65.91,92,0,1.79,IN,1731267497
92,taber,49.8167,-112.1518,37.4,93,100,3.44,CA,1731267498
93,sarmasu,46.75,24.1667,37.69,63,5,1.19,RO,1731267499
94,grand gaube,-20.0064,57.6608,77.38,87,100,14.65,MU,1731267500
95,gornopravdinsk,60.05,69.9,16.2,91,100,12.57,RU,1731267501
96,san salvador,13.6894,-89.1872,84.87,68,40,2.3,SV,1731267468
97,den burg,53.0542,4.7972,51.78,82,100,5.75,NL,1731267503
98,ust'-uda,54.1742,103.0304,21.11,78,67,3.44,RU,1731267504
99,weno,7.4515,151.8468,80.55,83,40,0.0,FM,1731267505
100,uturoa,-16.7333,-151.4333,81.0,81,100,13.49,PF,1731267506
101,cide,41.8921,33.0044,52.83,65,98,4.12,TR,1731267507
102,greymouth,-42.4667,171.2,49.17,94,100,5.35,NZ,1731267508
103,punta arenas,-53.15,-70.9167,53.71,35,40,31.07,CL,1731267455
104,kruisfontein,-34.0033,24.7314,55.47,86,14,1.63,ZA,1731267511
105,lensk,60.7253,114.9278,5.52,99,99,4.81,RU,1731267512
106,puerto aysen,-45.4,-72.7,45.12,99,99,5.01,CL,1731267513
107,san pedro pochutla,15.7333,-96.4667,90.72,61,14,5.75,MX,1731267514
108,port blair,11.6667,92.75,82.44,83,40,2.3,IN,1731267515
109,barra de santo antonio,-9.4047,-35.5072,78.55,77,8,16.98,BR,1731267516
110,rupea,46.0333,25.2167,35.73,82,64,4.29,RO,1731267517
111,amungan,15.3652,119.9582,78.91,91,100,6.06,PH,1731267518
112,hasaki,35.7333,140.8333,62.6,96,100,10.56,JP,1731267519
113,jacmel,18.2342,-72.5347,83.39,78,100,5.77,HT,1731267520
114,pisco,-13.7,-76.2167,73.45,64,0,9.22,PE,1731267522
115,arraias,-12.9288,-46.9437,75.58,83,98,3.09,BR,1731267523
116,la passe,45.5549,-0.8967,59.43,83,100,6.44,FR,1731267524
117,hirara,24.8,125.2833,77.27,88,100,9.22,JP,1731267525
118,tucupita,9.0622,-62.051,93.07,44,87,7.27,VE,1731267526
119,ponta delgada,37.7333,-25.6667,68.72,83,75,12.66,PT,1731267527
